"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"Zanthoxylum rhoifolium","Present",4,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4817,2313,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Cupania dentata","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4818,2313,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Copania dentata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4819,2313,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4820,2313,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Spondias mombin","Present",3,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4821,2313,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, s.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Zanthoxylum rhoifolium","Present",5,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4822,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4823,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Spondias mombin","Present",3,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4824,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, s.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Achiote montés","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4825,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Achiote montés","Needs Review",NA,NA
"Cedrela odorata","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4826,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Cedrela odorata","Resolved",NA,NA
"Annona squamosa","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4827,2314,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4828,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Enterolobium cyclocarpum","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4829,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Enterolobium Cyclocarpum","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Croton draco","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4830,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4831,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4832,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Spondias mombin","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4833,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, s.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Dendropanax","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4834,2315,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Pata de gallo","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4835,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Pata de gallo","Needs Review",NA,NA
"Inga vera","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4836,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Pipe","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4837,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Pipe","Needs Review",NA,NA
"Zanthoxylum rhoifolium","Present",3,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4838,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Cupania dentata","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4839,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Copania dentata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Persea americana","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4840,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4841,2316,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Dendropanax","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4842,2317,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",6,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4843,2317,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",2,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4844,2317,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Hibiscus elatus","Present",3,">10cm","1290","1290_1","Mexico","UCIRI","Restoration","Restoration","30x30",4845,2317,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Hibiscus elatus","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Liquidambar styraciflua","Present",11,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4846,2318,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4847,2318,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4848,2318,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Liquidambar styraciflua","Present",6,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4849,2319,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Palo de leche amarillo","Present",5,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4850,2319,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de leche amarillo","Needs Review",NA,NA
"Persea caerulea","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4851,2319,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Croton draco","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4852,2319,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4853,2320,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Croton draco","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4854,2320,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Persea caerulea","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4855,2320,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus xalapensis","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4856,2320,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Quercus xalapensis","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4857,2320,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Inga vera","Present",5,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4858,2321,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4859,2321,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4860,2321,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Croton draco","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4861,2321,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4862,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Liquidambar styraciflua","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4863,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Persea caerulea","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4864,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4865,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Croton draco","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4866,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4867,2322,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4868,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Persea caerulea","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4869,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4870,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Cedrela odorata","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4871,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Cedrela odorata","Resolved",NA,NA
"Palo de leche amarillo","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4872,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de leche amarillo","Needs Review",NA,NA
"Croton draco","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4873,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4874,2323,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Liquidambar styraciflua","Present",12,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4875,2324,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Pinus chiapensis","Present",6,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4876,2324,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Pinus chiapensis","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Persea americana","Present",2,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4877,2324,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Liquidambar styraciflua","Present",9,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4878,2325,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",1,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4879,2325,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Dendropanax","Present",2,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4880,2325,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"0",NA,0,NA,"1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4881,2325,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","0","Needs Review",NA,NA
"Persea americana","Present",5,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4882,2326,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",5,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4883,2326,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Croton draco","Present",3,">10cm","1289","1289_1","Mexico","UCIRI","Restoration","Restoration","30x30",4884,2326,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",10,">10cm","1297","1297_1","Mexico","UCIRI","Restoration","Restoration","30x30",4885,2327,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",5,">10cm","1297","1297_1","Mexico","UCIRI","Restoration","Restoration","30x30",4886,2327,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Byrsonima crassifolia","Present",1,">10cm","1297","1297_1","Mexico","UCIRI","Restoration","Restoration","30x30",4887,2327,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Byrsonima crassifolia","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Spondias mombin","Present",1,">10cm","1297","1297_1","Mexico","UCIRI","Restoration","Restoration","30x30",4888,2327,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, S.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Gliricidia sepium","Present",2,">10cm","1297","1297_1","Mexico","UCIRI","Restoration","Restoration","30x30",4889,2327,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4890,2328,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4891,2328,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Croton draco","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4892,2328,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4893,2328,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4894,2329,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una  separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4895,2329,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una  separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Spondias mombin","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4896,2329,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una  separación de 2 m por 2 m","Y0","Spondias mombin, S.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",4897,2329,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una  separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",3,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4898,2330,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Annona squamosa","Present",2,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4899,2330,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",2,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4900,2330,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Hibiscus elatus","Present",1,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4901,2330,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Hibiscus elatus","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Cedrela odorata","Present",1,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4902,2331,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Cedrela odorata","Resolved",NA,NA
"Zanthoxylum rhoifolium","Present",4,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4903,2331,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Present",1,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4904,2331,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium","Present",3,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4905,2331,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"0",NA,0,NA,"1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4906,2331,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","0","Needs Review",NA,NA
"Inga vera","Present",3,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4907,2332,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",4,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4908,2332,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Liquidambar styraciflua","Present",3,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4909,2332,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium","Present",3,">10cm","1303","1303_1","Mexico","UCIRI","Restoration","Restoration","30x30",4910,2332,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
