"Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Type","Coordinate_System_Used","Northeast_Corner_of_30m_x_30m_Plot","Northeast_Corner_of_30m_x_30m_Plot_latitude","Northeast_Corner_of_30m_x_30m_Plot_longitude","Northeast_Corner_of_30m_x_30m_Plot_altitude","Northeast_Corner_of_30m_x_30m_Plot_precision","Northeast_Corner_of_30m_x_30m_Plot_wkt","Southeast_Corner_of_30m_x_30m_Plot","Southeast_Corner_of_30m_x_30m_Plot_latitude","Southeast_Corner_of_30m_x_30m_Plot_longitude","Southeast_Corner_of_30m_x_30m_Plot_altitude","Southeast_Corner_of_30m_x_30m_Plot_precision","Southeast_Corner_of_30m_x_30m_Plot_wkt","Southwest_Corner_of_30m_x_30m_Plot","Southwest_Corner_of_30m_x_30m_Plot_latitude","Southwest_Corner_of_30m_x_30m_Plot_longitude","Southwest_Corner_of_30m_x_30m_Plot_altitude","Southwest_Corner_of_30m_x_30m_Plot_precision","Southwest_Corner_of_30m_x_30m_Plot_wkt","Northwest_Corner_of_30m_x_30m_Plot","Northwest_Corner_of_30m_x_30m_Plot_latitude","Northwest_Corner_of_30m_x_30m_Plot_longitude","Northwest_Corner_of_30m_x_30m_Plot_altitude","Northwest_Corner_of_30m_x_30m_Plot_precision","Northwest_Corner_of_30m_x_30m_Plot_wkt","Centroid_of_3m_x_3m_Subplot","Centroid_of_3m_x_3m_Subplot_latitude","Centroid_of_3m_x_3m_Subplot_longitude","Centroid_of_3m_x_3m_Subplot_altitude","Centroid_of_3m_x_3m_Subplot_precision","Centroid_of_3m_x_3m_Subplot_wkt","Northeast_Corner_of_10m_x_10m_Plot","Northeast_Corner_of_10m_x_10m_Plot_latitude","Northeast_Corner_of_10m_x_10m_Plot_longitude","Northeast_Corner_of_10m_x_10m_Plot_altitude","Northeast_Corner_of_10m_x_10m_Plot_precision","Northeast_Corner_of_10m_x_10m_Plot_wkt","Southeast_Corner_of_10m_x_10m_Plot","Southeast_Corner_of_10m_x_10m_Plot_latitude","Southeast_Corner_of_10m_x_10m_Plot_longitude","Southeast_Corner_of_10m_x_10m_Plot_altitude","Southeast_Corner_of_10m_x_10m_Plot_precision","Southeast_Corner_of_10m_x_10m_Plot_wkt","Southwest_Corner_of_10m_x_10m_Plot","Southwest_Corner_of_10m_x_10m_Plot_latitude","Southwest_Corner_of_10m_x_10m_Plot_longitude","Southwest_Corner_of_10m_x_10m_Plot_altitude","Southwest_Corner_of_10m_x_10m_Plot_precision","Southwest_Corner_of_10m_x_10m_Plot_wkt","Northwest_Corner_of_10m_x_10m_Plot","Northwest_Corner_of_10m_x_10m_Plot_latitude","Northwest_Corner_of_10m_x_10m_Plot_longitude","Northwest_Corner_of_10m_x_10m_Plot_altitude","Northwest_Corner_of_10m_x_10m_Plot_precision","Northwest_Corner_of_10m_x_10m_Plot_wkt","Centroid_of_3m_x_3m_Subplot2_latitude","Centroid_of_3m_x_3m_Subplot2_longitude","Centroid_of_3m_x_3m_Subplot2_altitude","Centroid_of_3m_x_3m_Subplot2_precision","Centroid_of_3m_x_3m_Subplot2","Centroid_of_3m_x_3m_Subplot1_latitude","Centroid_of_3m_x_3m_Subplot1_longitude","Centroid_of_3m_x_3m_Subplot1_altitude","Centroid_of_3m_x_3m_Subplot1_precision","Centroid_of_3m_x_3m_Subplot1","Centroid_of_3m_x_3m_Subplot2_wkt","Centroid_of_3m_x_3m_Subplot1_wkt"
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2392014 19.3509285 707.7 4.78",-5.2392014,19.3509285,707.7,4.78,"POINT (19.3509285 -5.2392014 707.7)","-5.239145 19.3506396 707.8000000000001 4.85",-5.239145,19.3506396,707.8,4.85,"POINT (19.3506396 -5.239145 707.8000000000001)","-5.23916 19.3505783 707.9 3.9",-5.23916,19.3505783,707.9,3.9,"POINT (19.3505783 -5.23916 707.9)","-5.2391615 19.3505824 707.9 4.2",-5.2391615,19.3505824,707.9,4.2,"POINT (19.3505824 -5.2391615 707.9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2440012 19.3519139 716.6 3.9",-5.2440012,19.3519139,716.6,3.9,"POINT (19.3519139 -5.2440012 716.6)","-5.244005 19.35192 716.6 3.9",-5.244005,19.35192,716.6,3.9,"POINT (19.35192 -5.244005 716.6)","-5.2440867 19.35195 716.6 3.9",-5.2440867,19.35195,716.6,3.9,"POINT (19.35195 -5.2440867 716.6)","-5.2441133 19.3519417 716.6 4.6",-5.2441133,19.3519417,716.6,4.6,"POINT (19.3519417 -5.2441133 716.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2413317 19.352475 716.6 4.6",-5.2413317,19.352475,716.6,4.6,"POINT (19.352475 -5.2413317 716.6)","-5.2414217 19.352515 721.4 4.0",-5.2414217,19.352515,721.4,4,"POINT (19.352515 -5.2414217 721.4)","-5.2414445 19.3525106 721.5 3.9",-5.2414445,19.3525106,721.5,3.9,"POINT (19.3525106 -5.2414445 721.5)","-5.2414683 19.3525233 721.4 4.6",-5.2414683,19.3525233,721.4,4.6,"POINT (19.3525233 -5.2414683 721.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2434095 19.3503159 718.2 4.666",-5.2434095,19.3503159,718.2,4.666,"POINT (19.3503159 -5.2434095 718.2)","-5.2433949 19.3500637 718.6 4.95",-5.2433949,19.3500637,718.6,4.95,"POINT (19.3500637 -5.2433949 718.6)","-5.243385 19.350015 718.7 4.3",-5.243385,19.350015,718.7,4.3,"POINT (19.350015 -5.243385 718.7)","-5.243358 19.3500602 718.7 5.0",-5.243358,19.3500602,718.7,5,"POINT (19.3500602 -5.243358 718.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Iseme3.6","Restoration","Restoration","Nord-sud","-4.947289 19.4174166 680.0 4.114",-4.947289,19.4174166,680,4.114,"POINT (19.4174166 -4.947289 680.0)","-4.9472655 19.4174491 680.1 3.95",-4.9472655,19.4174491,680.1,3.95,"POINT (19.4174491 -4.9472655 680.1)","-4.9472209 19.4174889 680.2 4.6",-4.9472209,19.4174889,680.2,4.6,"POINT (19.4174889 -4.9472209 680.2)","-4.9472272 19.4175213 680.1 4.15",-4.9472272,19.4175213,680.1,4.15,"POINT (19.4175213 -4.9472272 680.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 5","Restoration","Restoration","Nord-sud","-5.2402383 19.354095 717.5 3.9",-5.2402383,19.354095,717.5,3.9,"POINT (19.354095 -5.2402383 717.5)","-5.2407108 19.3540525 719.1 4.483",-5.2407108,19.3540525,719.1,4.483,"POINT (19.3540525 -5.2407108 719.1)","-5.24063 19.3540867 719.5 3.9",-5.24063,19.3540867,719.5,3.9,"POINT (19.3540867 -5.24063 719.5)","-5.2402432 19.3541403 718.3000000000001 4.6",-5.2402432,19.3541403,718.3,4.6,"POINT (19.3541403 -5.2402432 718.3000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2397533 19.3530217 716.7 4.3",-5.2397533,19.3530217,716.7,4.3,"POINT (19.3530217 -5.2397533 716.7)","-5.2397969 19.3530217 716.7 4.4",-5.2397969,19.3530217,716.7,4.4,"POINT (19.3530217 -5.2397969 716.7)","-5.2399415 19.3529725 716.8000000000001 4.4",-5.2399415,19.3529725,716.8,4.4,"POINT (19.3529725 -5.2399415 716.8000000000001)","-5.2399283 19.35297 716.8000000000001 4.9",-5.2399283,19.35297,716.8,4.9,"POINT (19.35297 -5.2399283 716.8000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2372417 19.3521383 704.2 3.9",-5.2372417,19.3521383,704.2,3.9,"POINT (19.3521383 -5.2372417 704.2)","-5.2372433 19.3521383 704.2 3.9",-5.2372433,19.3521383,704.2,3.9,"POINT (19.3521383 -5.2372433 704.2)","-5.2372733 19.352135 704.1 3.9",-5.2372733,19.352135,704.1,3.9,"POINT (19.352135 -5.2372733 704.1)","-5.2373233 19.3521083 704.2 4.5",-5.2373233,19.3521083,704.2,4.5,"POINT (19.3521083 -5.2373233 704.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 7","Restoration","Restoration","Nord-sud.","-5.2385667 19.3525233 702.8000000000001 3.9",-5.2385667,19.3525233,702.8,3.9,"POINT (19.3525233 -5.2385667 702.8000000000001)","-5.2389737 19.3525292 702.2 4.64",-5.2389737,19.3525292,702.2,4.64,"POINT (19.3525292 -5.2389737 702.2)","-5.2389724 19.3525323 702.2 3.9",-5.2389724,19.3525323,702.2,3.9,"POINT (19.3525323 -5.2389724 702.2)","-5.2385569 19.3525224 702.1 4.766",-5.2385569,19.3525224,702.1,4.766,"POINT (19.3525224 -5.2385569 702.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","96","Bloc 6","Restoration","Restoration","Nord-sud","-5.2346583 19.3514383 708.7 3.9",-5.2346583,19.3514383,708.7,3.9,"POINT (19.3514383 -5.2346583 708.7)","-5.2349467 19.3514867 708.7 5.0",-5.2349467,19.3514867,708.7,5,"POINT (19.3514867 -5.2349467 708.7)","-5.2349923 19.351405 708.8000000000001 4.957",-5.2349923,19.351405,708.8,4.957,"POINT (19.351405 -5.2349923 708.8000000000001)","-5.2346323 19.3514279 708.3000000000001 3.966",-5.2346323,19.3514279,708.3,3.966,"POINT (19.3514279 -5.2346323 708.3000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.940405 19.4274583 646.3000000000001 4.9",-4.940405,19.4274583,646.3,4.9,"POINT (19.4274583 -4.940405 646.3000000000001)","-4.9400736 19.4274598 645.7 4.925",-4.9400736,19.4274598,645.7,4.925,"POINT (19.4274598 -4.9400736 645.7)","-4.9400367 19.4274567 645.7 3.9",-4.9400367,19.4274567,645.7,3.9,"POINT (19.4274567 -4.9400367 645.7)","-4.9400367 19.4274567 645.7 3.9",-4.9400367,19.4274567,645.7,3.9,"POINT (19.4274567 -4.9400367 645.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9408433 19.4249845 645.9 3.9",-4.9408433,19.4249845,645.9,3.9,"POINT (19.4249845 -4.9408433 645.9)","-4.9408433 19.424985 645.9 3.9",-4.9408433,19.424985,645.9,3.9,"POINT (19.424985 -4.9408433 645.9)","-4.9408367 19.4249933 645.7 3.9",-4.9408367,19.4249933,645.7,3.9,"POINT (19.4249933 -4.9408367 645.7)","-4.9408283 19.4249967 645.7 4.2",-4.9408283,19.4249967,645.7,4.2,"POINT (19.4249967 -4.9408283 645.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9422217 19.4230933 652.7 3.9",-4.9422217,19.4230933,652.7,3.9,"POINT (19.4230933 -4.9422217 652.7)","-4.942225 19.423095 653.0 4.1",-4.942225,19.423095,653,4.1,"POINT (19.423095 -4.942225 653.0)","-4.9422133 19.423095 653.0 4.1",-4.9422133,19.423095,653,4.1,"POINT (19.423095 -4.9422133 653.0)","-4.9421767 19.423085 652.9 4.8",-4.9421767,19.423085,652.9,4.8,"POINT (19.423085 -4.9421767 652.9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9435417 19.4232383 661.9 3.9",-4.9435417,19.4232383,661.9,3.9,"POINT (19.4232383 -4.9435417 661.9)","-4.9435383 19.4232367 661.9 4.1",-4.9435383,19.4232367,661.9,4.1,"POINT (19.4232367 -4.9435383 661.9)","-4.943495 19.4232157 661.8000000000001 4.0",-4.943495,19.4232157,661.8,4,"POINT (19.4232157 -4.943495 661.8000000000001)","-4.9434383 19.4232033 661.7 4.7",-4.9434383,19.4232033,661.7,4.7,"POINT (19.4232033 -4.9434383 661.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9449133 19.4230833 669.5 3.9",-4.9449133,19.4230833,669.5,3.9,"POINT (19.4230833 -4.9449133 669.5)","-4.9448917 19.4231067 669.0 3.9",-4.9448917,19.4231067,669,3.9,"POINT (19.4231067 -4.9448917 669.0)","-4.9447873 19.4231294 668.9 3.9",-4.9447873,19.4231294,668.9,3.9,"POINT (19.4231294 -4.9447873 668.9)","-4.9448975 19.4231341 668.3000000000001 4.96",-4.9448975,19.4231341,668.3,4.96,"POINT (19.4231341 -4.9448975 668.3000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9444017 19.42491 668.3000000000001 3.9",-4.9444017,19.42491,668.3,3.9,"POINT (19.42491 -4.9444017 668.3000000000001)","-4.9444007 19.424911 668.3000000000001 3.95",-4.9444007,19.424911,668.3,3.95,"POINT (19.424911 -4.9444007 668.3000000000001)","-4.9443745 19.4249213 668.2 4.0",-4.9443745,19.4249213,668.2,4,"POINT (19.4249213 -4.9443745 668.2)","-4.9443633 19.4249283 668.2 4.0",-4.9443633,19.4249283,668.2,4,"POINT (19.4249283 -4.9443633 668.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9440333 19.426345 669.5 3.9",-4.9440333,19.426345,669.5,3.9,"POINT (19.426345 -4.9440333 669.5)","-4.9440333 19.426345 669.5 3.9",-4.9440333,19.426345,669.5,3.9,"POINT (19.426345 -4.9440333 669.5)","-4.9440123 19.4263306 669.5 3.9",-4.9440123,19.4263306,669.5,3.9,"POINT (19.4263306 -4.9440123 669.5)","-4.94401 19.42633 669.5 4.7",-4.94401,19.42633,669.5,4.7,"POINT (19.42633 -4.94401 669.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.94252 19.4273967 668.1 3.9",-4.94252,19.4273967,668.1,3.9,"POINT (19.4273967 -4.94252 668.1)","-4.9425167 19.4273967 668.0 3.9",-4.9425167,19.4273967,668,3.9,"POINT (19.4273967 -4.9425167 668.0)","-4.942475 19.4274067 667.8000000000001 3.9",-4.942475,19.4274067,667.8,3.9,"POINT (19.4274067 -4.942475 667.8000000000001)","-4.9424717 19.427405 667.8000000000001 4.1",-4.9424717,19.427405,667.8,4.1,"POINT (19.427405 -4.9424717 667.8000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 9","Restoration","Restoration","Nord-sud","-4.9423817 19.4248167 667.8000000000001 3.9",-4.9423817,19.4248167,667.8,3.9,"POINT (19.4248167 -4.9423817 667.8000000000001)","-4.9423817 19.4248167 662.7 3.9",-4.9423817,19.4248167,662.7,3.9,"POINT (19.4248167 -4.9423817 662.7)","-4.9423801 19.4248151 662.7 3.9",-4.9423801,19.4248151,662.7,3.9,"POINT (19.4248151 -4.9423801 662.7)","-4.9423767 19.4248133 662.7 3.9",-4.9423767,19.4248133,662.7,3.9,"POINT (19.4248133 -4.9423767 662.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Iseme Bloc 9","Restoration","Restoration","Nord-sud","-4.9410917 19.424285 646.2 3.9",-4.9410917,19.424285,646.2,3.9,"POINT (19.424285 -4.9410917 646.2)","-4.94109 19.4242867 646.2 3.9",-4.94109,19.4242867,646.2,3.9,"POINT (19.4242867 -4.94109 646.2)","-4.9410883 19.4242867 646.2 3.9",-4.9410883,19.4242867,646.2,3.9,"POINT (19.4242867 -4.9410883 646.2)","-4.9410867 19.42429 646.2 3.9",-4.9410867,19.42429,646.2,3.9,"POINT (19.42429 -4.9410867 646.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9430167 19.4198767 662.1 3.9",-4.9430167,19.4198767,662.1,3.9,"POINT (19.4198767 -4.9430167 662.1)","-4.943005 19.419865 662.0 3.9",-4.943005,19.419865,662,3.9,"POINT (19.419865 -4.943005 662.0)","-4.942945 19.4198167 662.0 3.9",-4.942945,19.4198167,662,3.9,"POINT (19.4198167 -4.942945 662.0)","-4.942915 19.4198083 662.0 4.0",-4.942915,19.4198083,662,4,"POINT (19.4198083 -4.942915 662.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9435749 19.420813 661.6 3.9",-4.9435749,19.420813,661.6,3.9,"POINT (19.420813 -4.9435749 661.6)","-4.943575 19.4208133 661.6 4.0",-4.943575,19.4208133,661.6,4,"POINT (19.4208133 -4.943575 661.6)","-4.943565 19.42082 661.6 4.0",-4.943565,19.42082,661.6,4,"POINT (19.42082 -4.943565 661.6)","-4.9435315 19.42084 661.6 4.7",-4.9435315,19.42084,661.6,4.7,"POINT (19.42084 -4.9435315 661.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9424683 19.4207 655.4 3.9",-4.9424683,19.4207,655.4,3.9,"POINT (19.4207 -4.9424683 655.4)","-4.94247 19.4207 655.3000000000001 4.0",-4.94247,19.4207,655.3,4,"POINT (19.4207 -4.94247 655.3000000000001)","-4.9424417 19.4207217 655.2 4.0",-4.9424417,19.4207217,655.2,4,"POINT (19.4207217 -4.9424417 655.2)","-4.942495 19.4207117 655.5 4.9",-4.942495,19.4207117,655.5,4.9,"POINT (19.4207117 -4.942495 655.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9417949 19.4221045 648.7 4.975",-4.9417949,19.4221045,648.7,4.975,"POINT (19.4221045 -4.9417949 648.7)","-4.94162 19.4220569 641.7 5.0",-4.94162,19.4220569,641.7,5,"POINT (19.4220569 -4.94162 641.7)","-4.94151 19.4220083 641.9 3.9",-4.94151,19.4220083,641.9,3.9,"POINT (19.4220083 -4.94151 641.9)","-4.9414717 19.421975 641.8000000000001 4.3",-4.9414717,19.421975,641.8,4.3,"POINT (19.421975 -4.9414717 641.8000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9421917 19.4197283 653.3000000000001 4.3",-4.9421917,19.4197283,653.3,4.3,"POINT (19.4197283 -4.9421917 653.3000000000001)","-4.9420057 19.4197014 649.7 4.833",-4.9420057,19.4197014,649.7,4.833,"POINT (19.4197014 -4.9420057 649.7)","-4.9419508 19.4196849 649.7 4.6",-4.9419508,19.4196849,649.7,4.6,"POINT (19.4196849 -4.9419508 649.7)","-4.9419768 19.4196714 649.8000000000001 4.95",-4.9419768,19.4196714,649.8,4.95,"POINT (19.4196714 -4.9419768 649.8000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9416602 19.4180621 643.3000000000001 4.42",-4.9416602,19.4180621,643.3,4.42,"POINT (19.4180621 -4.9416602 643.3000000000001)","-4.94161 19.4181083 644.4 4.6",-4.94161,19.4181083,644.4,4.6,"POINT (19.4181083 -4.94161 644.4)","-4.94152 19.4181933 644.4 4.6",-4.94152,19.4181933,644.4,4.6,"POINT (19.4181933 -4.94152 644.4)","-4.9416919 19.4181349 644.4 3.9",-4.9416919,19.4181349,644.4,3.9,"POINT (19.4181349 -4.9416919 644.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9421305 19.4159932 665.0 4.8",-4.9421305,19.4159932,665,4.8,"POINT (19.4159932 -4.9421305 665.0)","-4.9417761 19.4161753 664.7 3.9",-4.9417761,19.4161753,664.7,3.9,"POINT (19.4161753 -4.9417761 664.7)","-4.9417767 19.4161733 664.7 3.9",-4.9417767,19.4161733,664.7,3.9,"POINT (19.4161733 -4.9417767 664.7)","-4.9421422 19.4160244 663.3000000000001 3.971",-4.9421422,19.4160244,663.3,3.971,"POINT (19.4160244 -4.9421422 663.3000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.9430529 19.415559 664.8000000000001 4.55",-4.9430529,19.415559,664.8,4.55,"POINT (19.415559 -4.9430529 664.8000000000001)","-4.9430368 19.4155688 665.4 4.7",-4.9430368,19.4155688,665.4,4.7,"POINT (19.4155688 -4.9430368 665.4)","-4.9429817 19.415585 665.4 4.6",-4.9429817,19.415585,665.4,4.6,"POINT (19.415585 -4.9429817 665.4)","-4.9428714 19.4156116 665.3000000000001 4.85",-4.9428714,19.4156116,665.3,4.85,"POINT (19.4156116 -4.9428714 665.3000000000001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faja Lobi","95","Bloc 7","Restoration","Restoration","Nord-sud","-4.945075 19.420715 662.7 3.9",-4.945075,19.420715,662.7,3.9,"POINT (19.420715 -4.945075 662.7)","-4.945075 19.420715 662.7 3.9",-4.945075,19.420715,662.7,3.9,"POINT (19.420715 -4.945075 662.7)","-4.9450667 19.4207167 672.0 3.9",-4.9450667,19.4207167,672,3.9,"POINT (19.4207167 -4.9450667 672.0)","-4.945065 19.4207183 672.0 3.9",-4.945065,19.4207183,672,3.9,"POINT (19.4207183 -4.945065 672.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
