"Species","data_source_title","score","matched_name2"
"treculia africana","The International Plant Names Index",0.988,"Treculia africana"
"Autronella congolensis","Tropicos - Missouri Botanical Garden",0.75,"Autranella congolensis"
"Afzelia bignioides","Tropicos - Missouri Botanical Garden",0.75,"Afzelia"
"Oenocarpus bacaba","The International Plant Names Index",0.988,"Oenocarpus bacaba"
"Eremanthus erythropappus","Tropicos - Missouri Botanical Garden",0.988,"Eremanthus erythropappus"
"Tabebuia donnel-smithii","Tropicos - Missouri Botanical Garden",0.75,"Tabebuia donnell-smithii"
"Nauclia dideritchii","Tropicos - Missouri Botanical Garden",0.75,"Nauclea diderrichii"
"Hevea brasileinsis","Tropicos - Missouri Botanical Garden",0.75,"Hevea brasiliensis"
"Treculia africana","The International Plant Names Index",0.988,"Treculia africana"
"Gilberiodendron dewevrii","Tropicos - Missouri Botanical Garden",0.75,"Gilbertiodendron dewevrei"
"Paracrolobium coeroleum","Tropicos - Missouri Botanical Garden",0.75,"Paramacrolobium coeruleum"
"Guibourtha demeusii","Tropicos - Missouri Botanical Garden",0.75,"Guibourtia demeusei"
"Prioria  balsamifera","Tropicos - Missouri Botanical Garden",0.988,"Prioria balsamifera"
"Hevea brasilieinsis","Tropicos - Missouri Botanical Garden",0.75,"Hevea brasiliensis"
"Pachyra aquatica","Tropicos - Missouri Botanical Garden",0.75,"Pachira aquatica"
"Paramacrolobium ","Tropicos - Missouri Botanical Garden",0.75,"Paramacrolobium"
"Combretum molle","Tropicos - Missouri Botanical Garden",0.988,"Combretum molle"
"Dipteryx guianensis","Tropicos - Missouri Botanical Garden",0.75,"Dipteryx"
"Pentaclethra macrophilla","Tropicos - Missouri Botanical Garden",0.75,"Pentaclethra macrophylla"
"Prioria oxophilla","Tropicos - Missouri Botanical Garden",0.75,"Prioria oxyphylla"
"Entandrophragma cilindricum","Tropicos - Missouri Botanical Garden",0.75,"Entandrophragma cylindricum"
"Cassia siamea & floribunda","Tropicos - Missouri Botanical Garden",0.988,"Cassia siamea"
"Afzelia bipidoides","Tropicos - Missouri Botanical Garden",0.75,"Afzelia"
"Hevea braseliensis","Tropicos - Missouri Botanical Garden",0.75,"Hevea brasiliensis"
"entandrophragma candelei","Tropicos - Missouri Botanical Garden",0.75,"Entandrophragma candollei"
"Couma utilis","Tropicos - Missouri Botanical Garden",0.988,"Couma utilis"
"Dipteryx odorata","Tropicos - Missouri Botanical Garden",0.988,"Dipteryx odorata"
"Mezilaurus itauba","Tropicos - Missouri Botanical Garden",0.988,"Mezilaurus itauba"
"Oenocarpus bataua","Tropicos - Missouri Botanical Garden",0.988,"Oenocarpus bataua"
"Parkia pendula","Tropicos - Missouri Botanical Garden",0.988,"Parkia pendula"
"Pouteria macrophylla","Tropicos - Missouri Botanical Garden",0.988,"Pouteria macrophylla"
"Simarouba amara","The International Plant Names Index",0.988,"Simarouba amara"
"Copaifera langsdorffii","Tropicos - Missouri Botanical Garden",0.988,"Copaifera langsdorffii"
"Enterolobium maximum","Tropicos - Missouri Botanical Garden",0.988,"Enterolobium maximum"
"Piptadenia gonoacantha","Tropicos - Missouri Botanical Garden",0.988,"Piptadenia gonoacantha"
"Theobroma speciosum","Tropicos - Missouri Botanical Garden",0.988,"Theobroma speciosum"
"Vanilla","Tropicos - Missouri Botanical Garden",0.75,"Vanilla"
"Piper","The International Plant Names Index",0.75,"Piper"
"Prunus","The International Plant Names Index",0.75,"Prunus"
"Arbustus unedo","Tropicos - Missouri Botanical Garden",0.75,"Arbutus unedo"
"Persea","The International Plant Names Index",0.75,"Persea"
"Cajanus","The International Plant Names Index",0.75,"Cajanus"
"Dombeya","The International Plant Names Index",0.75,"Dombeya"
"Abrahamia ditimena","Tropicos - Missouri Botanical Garden",0.988,"Abrahamia ditimena"
"Pittosporum","The International Plant Names Index",0.75,"Pittosporum"
"Tarenna","The International Plant Names Index",0.75,"Tarenna"
"Dombeya sp.","Tropicos - Missouri Botanical Garden",0.75,"Dombeya"
"Phyllarthron","Tropicos - Missouri Botanical Garden",0.75,"Phyllarthron"
"Dodonaea madagascariensis","Tropicos - Missouri Botanical Garden",0.988,"Dodonaea madagascariensis"
"Nuxia capitata Bocker","Tropicos - Missouri Botanical Garden",0.997,"Nuxia capitata"
"trachylobium","The International Plant Names Index",0.75,"Trachylobium"
"Coffea ","The International Plant Names Index",0.75,"Coffea"
"Pachytrophe obovata ","Tropicos - Missouri Botanical Garden",0.75,"Pachytrophe"
"Spondias ","The International Plant Names Index",0.75,"Spondias"
"TRACHYLOBIUM","The International Plant Names Index",0.75,"Trachylobium"
"Euphorbia tetraptera","Tropicos - Missouri Botanical Garden",0.988,"Euphorbia tetraptera"
"Dalbergia spp","Tropicos - Missouri Botanical Garden",0.75,"Dalbergia"
"Ilex mitis","Tropicos - Missouri Botanical Garden",0.988,"Ilex mitis"
"Inga edulis Mart.","Tropicos - Missouri Botanical Garden",0.999,"Inga edulis"
"Inga cylindrica (Vell.) Mart.","Tropicos - Missouri Botanical Garden",0.999,"Inga cylindrica"
"Bauhinia forficata Links","Tropicos - Missouri Botanical Garden",0.997,"Bauhinia forficata"
"Mimosa caesalpiniifolia Benth.","Tropicos - Missouri Botanical Garden",0.999,"Mimosa caesalpiniifolia"
"Andira legalis (Vell.) Toledo","Tropicos - Missouri Botanical Garden",0.999,"Andira legalis"
"Anadenanthera colubrina (Vell.) Brenan","Tropicos - Missouri Botanical Garden",0.999,"Anadenanthera colubrina"
"Manilkara bidentata","The International Plant Names Index",0.988,"Manilkara bidentata"
"Psidium rufum DC","Tropicos - Missouri Botanical Garden",0.997,"Psidium rufum"
"Aniba firmula (Ness. & Mart.) Mez","Tropicos - Missouri Botanical Garden",0.997,"Aniba firmula"
"Jacaranda micrantha Cham.","Tropicos - Missouri Botanical Garden",0.999,"Jacaranda micrantha"
"Micropholis venulosa (Mart. & Eichler) Pierre","Tropicos - Missouri Botanical Garden",0.999,"Micropholis venulosa"
"Cecropia hololeuca Miq.","Tropicos - Missouri Botanical Garden",0.999,"Cecropia hololeuca"
"Maytenus ilicifolia","The International Plant Names Index",0.988,"Maytenus ilicifolia"
"Senna sp","Tropicos - Missouri Botanical Garden",0.75,"Senna"
"Alchornea sidifolia","Tropicos - Missouri Botanical Garden",0.988,"Alchornea sidifolia"
"Calophylum brasiliensis Camb.","Tropicos - Missouri Botanical Garden",0.96,"Calophyllum brasiliense"
"Tabebuia impetiginosa (Mart..ex Cond.) Standl.","Tropicos - Missouri Botanical Garden",0.997,"Tabebuia impetiginosa"
"Swartzia langsdorffii","Tropicos - Missouri Botanical Garden",0.988,"Swartzia langsdorffii"
"Genipa americana L.","Tropicos - Missouri Botanical Garden",0.999,"Genipa americana"
"Cariniana estrellensis (Raddi) Kuntze","Tropicos - Missouri Botanical Garden",0.999,"Cariniana estrellensis"
"Jaracatia spinosa (Aubl.) A. DC.","The International Plant Names Index",0.997,"Jaracatia spinosa"
"Guapira opposita Vell.","Tropicos - Missouri Botanical Garden",0.997,"Guapira opposita"
"Lecythis pisonis Camb.","Tropicos - Missouri Botanical Garden",0.997,"Lecythis pisonis"
"Acnistus arborescens","Tropicos - Missouri Botanical Garden",0.988,"Acnistus arborescens"
"Citarexylum myrianthum","Tropicos - Missouri Botanical Garden",0.75,"Citharexylum myrianthum"
"Bauhinia forticata","Tropicos - Missouri Botanical Garden",0.75,"Bauhinia forficata"
"Spondias mombim","Tropicos - Missouri Botanical Garden",0.75,"Spondias mombin"
"Acer saccharum","The International Plant Names Index",0.988,"Acer saccharum"
"Carya ovata","Tropicos - Missouri Botanical Garden",0.988,"Carya ovata"
"Quercus prinus","The International Plant Names Index",0.988,"Quercus prinus"
"Carya tomentosa","The International Plant Names Index",0.988,"Carya tomentosa"
"Diospyros virginiana","The International Plant Names Index",0.988,"Diospyros virginiana"
"Betula lenta","The International Plant Names Index",0.988,"Betula lenta"
"Celtis occidentalis","The International Plant Names Index",0.988,"Celtis occidentalis"
"Morus rubra","The International Plant Names Index",0.988,"Morus rubra"
"Malus coronaria","Tropicos - Missouri Botanical Garden",0.988,"Malus coronaria"
"Corylus avellana","The International Plant Names Index",0.988,"Corylus avellana"
"Cornus racemosa","The International Plant Names Index",0.988,"Cornus racemosa"
"Cola Coche","Tropicos - Missouri Botanical Garden",0.75,"Cola"
"Cola de Coche","Tropicos - Missouri Botanical Garden",0.75,"Cola"
"cola de coche","Tropicos - Missouri Botanical Garden",0.75,"Cola"
"Liquidambar","The International Plant Names Index",0.75,"Liquidambar"
"Crotron megalocarpus","Tropicos - Missouri Botanical Garden",0.75,"Croton megalocarpus"
"Citrus sinensis L","Tropicos - Missouri Botanical Garden",0.997,"Citrus sinensis"
"Schinus terebentifolius","Tropicos - Missouri Botanical Garden",0.75,"Schinus terebinthifolius"
"Puteria torta","Tropicos - Missouri Botanical Garden",0.75,"Pouteria torta"
"Anadenanthera eregrina","Tropicos - Missouri Botanical Garden",0.75,"Anadenanthera peregrina"
"Copaifera langsdorffii Desf.","Tropicos - Missouri Botanical Garden",0.999,"Copaifera langsdorffii"
"Inga laurina","Tropicos - Missouri Botanical Garden",0.988,"Inga laurina"
"Tabebuia serratifolia","Tropicos - Missouri Botanical Garden",0.988,"Tabebuia serratifolia"
"Euterpe edulis","The International Plant Names Index",0.988,"Euterpe edulis"
"Mimosa bimucronata","Tropicos - Missouri Botanical Garden",0.988,"Mimosa bimucronata"
"Triplaris amaericana","Tropicos - Missouri Botanical Garden",0.75,"Triplaris americana"
"Amburana cearensis","Tropicos - Missouri Botanical Garden",0.988,"Amburana cearensis"
"Copaiba	(Copaifera langsdorffii Desf.)","The International Plant Names Index",0.75,"Copaiba"
"Ingá cipó (Inga edulis)","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Ingá mirim (Inga marginata)","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Ingá amarelo	(Inga laurina)","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Maricá	(Mimosa bimucronata)","Tropicos - Missouri Botanical Garden",0.75,"Marica"
"Cajanus cajan","Tropicos - Missouri Botanical Garden",0.988,"Cajanus cajan"
"Citrus sinensis L.","Tropicos - Missouri Botanical Garden",0.997,"Citrus sinensis"
"Copaiba (Copaifera langsdorffii Desf.)","Tropicos - Missouri Botanical Garden",0.75,"Copaiba"
"Ingá amarelo (Inga laurina)","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Maricá (Mimosa bimucronata)","Tropicos - Missouri Botanical Garden",0.75,"Marica"
"Peltophorum dubium (Spreng.) Taub","Tropicos - Missouri Botanical Garden",0.997,"Peltophorum dubium"
"Oenocarpus bacaba Mart.","Tropicos - Missouri Botanical Garden",0.999,"Oenocarpus bacaba"
"Pouteria caimito (Ruiz & Pav.) Radlk.","Tropicos - Missouri Botanical Garden",0.75,"Pouteria"
"Euterpe precatoria Mart.","Tropicos - Missouri Botanical Garden",0.999,"Euterpe precatoria"
"Cochlospermum vitifolium (Wild.) Spreng","Tropicos - Missouri Botanical Garden",0.997,"Cochlospermum vitifolium"
"Parahancornia fasciculata (Poir.) Benoist","Tropicos - Missouri Botanical Garden",0.999,"Parahancornia fasciculata"
"Carapa guianensis Aubl.","Tropicos - Missouri Botanical Garden",0.999,"Carapa guianensis"
"Hymenolobium petreum Ducke","Tropicos - Missouri Botanical Garden",0.96,"Hymenolobium petraeum"
"Parkia pendula (Willd.) Benth. ex Walp.","Tropicos - Missouri Botanical Garden",0.999,"Parkia pendula"
"Anadenanthera peregrina (L.) Speg.","Tropicos - Missouri Botanical Garden",0.999,"Anadenanthera peregrina"
"Eugenia stipitata McVaugh","Tropicos - Missouri Botanical Garden",0.999,"Eugenia stipitata"
"Macrolobium acaciifolium Benth.","Tropicos - Missouri Botanical Garden",0.997,"Macrolobium acaciifolium"
"Astronium urundeuva (M. Allemão) Engl.","The International Plant Names Index",0.997,"Astronium urundeuva"
"Garcinia gardneriana (Planch.& Triana) Zappi","Tropicos - Missouri Botanical Garden",0.997,"Garcinia gardneriana"
"Garcinia macrophylla Mart.","Tropicos - Missouri Botanical Garden",0.999,"Garcinia macrophylla"
"Annona mucosa Jacq.","Tropicos - Missouri Botanical Garden",0.999,"Annona mucosa"
"Protium heptaphyllum (Aulbl) March.","Tropicos - Missouri Botanical Garden",0.997,"Protium heptaphyllum"
"Trattinickia rhoifolia Willd.","Tropicos - Missouri Botanical Garden",0.96,"Trattinnickia rhoifolia"
"Mauritia flexuosa L.f.","The International Plant Names Index",0.999,"Mauritia flexuosa"
"Theobrama speciosum Willd ex spreng.","Tropicos - Missouri Botanical Garden",0.75,"Theobroma speciosum"
"Toulicia guianensis Aub.","Tropicos - Missouri Botanical Garden",0.997,"Toulicia guianensis"
"Simarouba amara Aub.","Tropicos - Missouri Botanical Garden",0.997,"Simarouba amara"
"Myrciaria dubia (Kunth) McVaugh","Tropicos - Missouri Botanical Garden",0.999,"Myrciaria dubia"
"Nectandra megapotamica","Tropicos - Missouri Botanical Garden",0.988,"Nectandra megapotamica"
"Jacarandar copaia (Aubl.) D. Don","Tropicos - Missouri Botanical Garden",0.96,"Jacaranda copaia"
"Bertholletia excelsa Bonpl.","Tropicos - Missouri Botanical Garden",0.999,"Bertholletia excelsa"
"Castilla ulei Warb.","Tropicos - Missouri Botanical Garden",0.999,"Castilla ulei"
"Cedrela fissilis Vell.","Tropicos - Missouri Botanical Garden",0.999,"Cedrela fissilis"
"Amburana acreana (Ducke)","Tropicos - Missouri Botanical Garden",0.997,"Amburana acreana"
"Bixa arborea Huber.","Tropicos - Missouri Botanical Garden",0.997,"Bixa arborea"
"Copaifera multijuga","Tropicos - Missouri Botanical Garden",0.988,"Copaifera multijuga"
"Copaífera grycycarpa Ducke.","Tropicos - Missouri Botanical Garden",0.96,"Copaifera glycycarpa"
"Annona sp.","Tropicos - Missouri Botanical Garden",0.75,"Annona"
"Dipteryx odorata (Aubl.) Willd.","Tropicos - Missouri Botanical Garden",0.999,"Dipteryx odorata"
"Parkia sp.","Tropicos - Missouri Botanical Garden",0.75,"Parkia"
"Parkia gigantocarpa","Tropicos - Missouri Botanical Garden",0.988,"Parkia gigantocarpa"
"Samanea tubulosa (Benth.) Barneby & J.W.Grimes","The International Plant Names Index",0.999,"Samanea tubulosa"
"Apuleia leiocarpa (Vogel) J.F.Macbr.","Tropicos - Missouri Botanical Garden",0.997,"Apuleia leiocarpa"
"Bagassa guianensis Aubl","Tropicos - Missouri Botanical Garden",0.997,"Bagassa guianensis"
"Inga laurina (Sw.) Willd.","Tropicos - Missouri Botanical Garden",0.999,"Inga laurina"
"Cassia leiandra Benth.","Tropicos - Missouri Botanical Garden",0.999,"Cassia leiandra"
"Handroanthus sp.","Tropicos - Missouri Botanical Garden",0.75,"Handroanthus"
"Mezilaurus itauba (Meisn.) Taub. ex Mez","Tropicos - Missouri Botanical Garden",0.999,"Mezilaurus itauba"
"Hymenaea parvifolia Huber","Tropicos - Missouri Botanical Garden",0.999,"Hymenaea parvifolia"
"Genipa infundibuliformis Zappi & Semir","Tropicos - Missouri Botanical Garden",0.999,"Genipa infundibuliformis"
"Pourouma guianensis Aubl.","Tropicos - Missouri Botanical Garden",0.999,"Pourouma guianensis"
"Terminalia tetraphylla (Aubl.) Gere & Boatwr.","Tropicos - Missouri Botanical Garden",0.999,"Terminalia tetraphylla"
"Swietenia macrophylla King","Tropicos - Missouri Botanical Garden",0.999,"Swietenia macrophylla"
"Schefflera morototoni (Aubl.)","Tropicos - Missouri Botanical Garden",0.997,"Schefflera morototoni"
"Astronium lecointei Ducke","Tropicos - Missouri Botanical Garden",0.999,"Astronium lecointei"
"Byrsonima crispa A.Juss.","The International Plant Names Index",0.999,"Byrsonima crispa"
"Ormosia arborea (Vell.)","Tropicos - Missouri Botanical Garden",0.997,"Ormosia arborea"
"Enterolobium schomburgkii (Benth.) Benth.","Tropicos - Missouri Botanical Garden",0.999,"Enterolobium schomburgkii"
"Ceiba speciosa (A.St.-Hil.) Ravenna","Tropicos - Missouri Botanical Garden",0.997,"Ceiba speciosa"
"Pseudobombax munguba (mart. & Zucc.) Dugand","The International Plant Names Index",0.999,"Pseudobombax munguba"
"Pseudolmedia laevis (Ruiz & Pav.) L. F. Macbr.","Tropicos - Missouri Botanical Garden",0.997,"Pseudolmedia laevis"
"Parkia multijuga Benth.","Tropicos - Missouri Botanical Garden",0.999,"Parkia multijuga"
"Oenocarpus bataua Mart.","Tropicos - Missouri Botanical Garden",0.999,"Oenocarpus bataua"
"Ochroma pyramidale (Cav. Ex Lam.)","Tropicos - Missouri Botanical Garden",0.997,"Ochroma pyramidale"
"Senegalia polyphylla (DC.) Britton & Rose","Tropicos - Missouri Botanical Garden",0.997,"Senegalia polyphylla"
"Piptadenia gonoacantha (Mart.) J.F.Macbr.","The International Plant Names Index",0.999,"Piptadenia gonoacantha"
"Physocalymma scaberrimum","The International Plant Names Index",0.988,"Physocalymma scaberrimum"
"Socratea exorrhiza (Mart.) H. Wendl.","Tropicos - Missouri Botanical Garden",0.999,"Socratea exorrhiza"
"Poeppgia procera (Poepp. Ex Spreng.) C. Presl","Tropicos - Missouri Botanical Garden",0.96,"Poeppigia procera"
"Talisia esculenta (Cambess.) Radlk.","The International Plant Names Index",0.997,"Talisia esculenta"
"Clarisia racemosa Ruiz &Pav.","Tropicos - Missouri Botanical Garden",0.997,"Clarisia racemosa"
"Peltogyne sp.","Tropicos - Missouri Botanical Garden",0.75,"Peltogyne"
"Peltogyne vogel","Tropicos - Missouri Botanical Garden",0.995,"Peltogyne"
"Croton lechleri Müll. Arg.","Tropicos - Missouri Botanical Garden",0.999,"Croton lechleri"
"Pouteria gardneri (Mart. & Miq.) Baehni","Tropicos - Missouri Botanical Garden",0.999,"Pouteria gardneri"
"Clitoria fairchildiana R.A.Howard","The International Plant Names Index",0.999,"Clitoria fairchildiana"
"Diplotropis purpurea (Rich.) Amshoff","Tropicos - Missouri Botanical Garden",0.999,"Diplotropis purpurea"
"Himatanthus phagedaenicus (Mart.) Woodson","Tropicos - Missouri Botanical Garden",0.999,"Himatanthus phagedaenicus"
"Tachigali guianensis (Benth.) Zarucchi & Herend.","Tropicos - Missouri Botanical Garden",0.999,"Tachigali guianensis"
"Terminalia sp.","Tropicos - Missouri Botanical Garden",0.75,"Terminalia"
"Couratari guianensis Aubl.","Tropicos - Missouri Botanical Garden",0.999,"Couratari guianensis"
"Cariniana micrantha Ducke","Tropicos - Missouri Botanical Garden",0.999,"Cariniana micrantha"
"Enterolobium contortisiliquum (Vell.) Morong","Tropicos - Missouri Botanical Garden",0.999,"Enterolobium contortisiliquum"
"Citharexylum myrianthum Cham.","Tropicos - Missouri Botanical Garden",0.999,"Citharexylum myrianthum"
"Pouteria macrophylla (Lam.) Eyma","Tropicos - Missouri Botanical Garden",0.75,"Pouteria"
"Bixa orellana L.","Tropicos - Missouri Botanical Garden",0.999,"Bixa orellana"
"Virola venosa (Benth.)","Tropicos - Missouri Botanical Garden",0.997,"Virola venosa"
"Bauhinia forficata Link s","Tropicos - Missouri Botanical Garden",0.997,"Bauhinia forficata"
"Inga marginata Willd.","Tropicos - Missouri Botanical Garden",0.999,"Inga marginata"
"Chorisia speciosa (Bombacaceae)","Tropicos - Missouri Botanical Garden",0.75,"Chorisia"
"Sparattanthelium botocudorum ","Tropicos - Missouri Botanical Garden",0.75,"Sparattanthelium"
"Cecropia hololeuca.","Tropicos - Missouri Botanical Garden",0.75,"Cecropia"
"Handroanthus impetiginosus","Tropicos - Missouri Botanical Garden",0.988,"Handroanthus impetiginosus"
"Joannesia princeps","Tropicos - Missouri Botanical Garden",0.988,"Joannesia princeps"
"Senna multijuga","Tropicos - Missouri Botanical Garden",0.988,"Senna multijuga"
"Apeiba tibourbou","The International Plant Names Index",0.988,"Apeiba tibourbou"
"Ingá edulis","The International Plant Names Index",0.988,"Inga edulis"
"Handroanthus crhysotrichus","Tropicos - Missouri Botanical Garden",0.75,"Handroanthus chrysotrichus"
"Protium aracouchini","The International Plant Names Index",0.988,"Protium aracouchini"
"Eschweleira ovata","Tropicos - Missouri Botanical Garden",0.75,"Eschweilera ovata"
"Parkia Pendula","Tropicos - Missouri Botanical Garden",0.988,"Parkia pendula"
"Arapatiella Psilophylla","The International Plant Names Index",0.75,"Arapatiella"
"Xilopia brasiliensis","Tropicos - Missouri Botanical Garden",0.75,"Xylopia brasiliensis"
"Virola bicuhyba","The International Plant Names Index",0.988,"Virola bicuhyba"
"Theobroma grandiflorum","Tropicos - Missouri Botanical Garden",0.988,"Theobroma grandiflorum"
"Cordia trichotoma","Tropicos - Missouri Botanical Garden",0.988,"Cordia trichotoma"
"Peltophorum dubiumPeltophorum dubium","Tropicos - Missouri Botanical Garden",0.999,"Peltophorum dubium dubium"
"Paraptadenia rigida","Tropicos - Missouri Botanical Garden",0.75,"Parapiptadenia rigida"
"Sparattosperma leucantthum","Tropicos - Missouri Botanical Garden",0.75,"Sparattosperma leucanthum"
"Spondias venulosa","Tropicos - Missouri Botanical Garden",0.988,"Spondias venulosa"
"Paratecoma peroba","Tropicos - Missouri Botanical Garden",0.988,"Paratecoma peroba"
"Pouteria butyrocarpa","Tropicos - Missouri Botanical Garden",0.988,"Pouteria butyrocarpa"
"Himatanthus bracteatus","The International Plant Names Index",0.988,"Himatanthus bracteatus"
"Arapatiella psilophilla","Tropicos - Missouri Botanical Garden",0.75,"Arapatiella psilophylla"
"Platymenia reticulata","Tropicos - Missouri Botanical Garden",0.75,"Plathymenia reticulata"
"Xilopia sericea","Tropicos - Missouri Botanical Garden",0.75,"Xylopia sericea"
"Zeheria tuberculosa","Tropicos - Missouri Botanical Garden",0.75,"Zeyheria tuberculosa"
"Guazuma crinita","Tropicos - Missouri Botanical Garden",0.988,"Guazuma crinita"
"Acacia glomerosa","Tropicos - Missouri Botanical Garden",0.988,"Acacia glomerosa"
"Psidium myrtoides","Tropicos - Missouri Botanical Garden",0.988,"Psidium myrtoides"
"Myracrodruon urundeuva","Tropicos - Missouri Botanical Garden",0.988,"Myracrodruon urundeuva"
"Senna spectabilis","The International Plant Names Index",0.988,"Senna spectabilis"
"Psidium guayana","The International Plant Names Index",0.988,"Psidium guayana"
"Euterpe precatoria","Tropicos - Missouri Botanical Garden",0.988,"Euterpe precatoria"
"Parahancornia fasciculata","Tropicos - Missouri Botanical Garden",0.988,"Parahancornia fasciculata"
"Hymenolobium petreum","Tropicos - Missouri Botanical Garden",0.75,"Hymenolobium petraeum"
"Anadenanthera peregrina","Tropicos - Missouri Botanical Garden",0.988,"Anadenanthera peregrina"
"Eugenia stipitata","Tropicos - Missouri Botanical Garden",0.988,"Eugenia stipitata"
"Macrolobium acaciifolium","Tropicos - Missouri Botanical Garden",0.988,"Macrolobium acaciifolium"
"Astronium urundeuva","Tropicos - Missouri Botanical Garden",0.988,"Astronium urundeuva"
"Garcinia gardneriana","Tropicos - Missouri Botanical Garden",0.988,"Garcinia gardneriana"
"Garcinia macrophylla","Tropicos - Missouri Botanical Garden",0.988,"Garcinia macrophylla"
"Trattinickia rhoifolia","Tropicos - Missouri Botanical Garden",0.75,"Trattinnickia rhoifolia"
"Mauritia flexuosa","The International Plant Names Index",0.988,"Mauritia flexuosa"
"Theobrama speciosum","Tropicos - Missouri Botanical Garden",0.75,"Theobroma speciosum"
"Toulicia guianensis","Tropicos - Missouri Botanical Garden",0.988,"Toulicia guianensis"
"Myrciaria dubia","Tropicos - Missouri Botanical Garden",0.988,"Myrciaria dubia"
"Jacarandar copaia","Tropicos - Missouri Botanical Garden",0.75,"Jacaranda copaia"
"Bertholletia excelsa","Tropicos - Missouri Botanical Garden",0.988,"Bertholletia excelsa"
"Castilla ulei","The International Plant Names Index",0.988,"Castilla ulei"
"Amburana acreana","Tropicos - Missouri Botanical Garden",0.988,"Amburana acreana"
"Copaífera grycycarpa","Tropicos - Missouri Botanical Garden",0.75,"Copaifera glycycarpa"
"Samanea tubulosa","Tropicos - Missouri Botanical Garden",0.988,"Samanea tubulosa"
"Apuleia leiocarpa","Tropicos - Missouri Botanical Garden",0.988,"Apuleia leiocarpa"
"Bagassa guianensis","Tropicos - Missouri Botanical Garden",0.988,"Bagassa guianensis"
"Cassia leiandra","Tropicos - Missouri Botanical Garden",0.988,"Cassia leiandra"
"Hymenaea parvifolia","Tropicos - Missouri Botanical Garden",0.988,"Hymenaea parvifolia"
"Genipa infundibuliformis","Tropicos - Missouri Botanical Garden",0.988,"Genipa infundibuliformis"
"Pourouma guianensis","The International Plant Names Index",0.988,"Pourouma guianensis"
"Terminalia tetraphylla","Tropicos - Missouri Botanical Garden",0.988,"Terminalia tetraphylla"
"Astronium lecointei","The International Plant Names Index",0.988,"Astronium lecointei"
"Byrsonima crispa","Tropicos - Missouri Botanical Garden",0.988,"Byrsonima crispa"
"Ormosia arborea","Tropicos - Missouri Botanical Garden",0.988,"Ormosia arborea"
"Enterolobium schomburgkii","The International Plant Names Index",0.988,"Enterolobium schomburgkii"
"Pseudobombax munguba","Tropicos - Missouri Botanical Garden",0.988,"Pseudobombax munguba"
"Pseudolmedia laevis","Tropicos - Missouri Botanical Garden",0.988,"Pseudolmedia laevis"
"Parkia multijuga","The International Plant Names Index",0.988,"Parkia multijuga"
"Senegalia polyphylla","Tropicos - Missouri Botanical Garden",0.988,"Senegalia polyphylla"
"Socratea exorrhiza","Tropicos - Missouri Botanical Garden",0.988,"Socratea exorrhiza"
"Poeppgia procera","Tropicos - Missouri Botanical Garden",0.75,"Poeppigia procera"
"Clarisia racemosa","Tropicos - Missouri Botanical Garden",0.988,"Clarisia racemosa"
"Croton lechleri","Tropicos - Missouri Botanical Garden",0.988,"Croton lechleri"
"Pouteria gardneri","Tropicos - Missouri Botanical Garden",0.988,"Pouteria gardneri"
"Clitoria fairchildiana","Tropicos - Missouri Botanical Garden",0.988,"Clitoria fairchildiana"
"Coumo utilis","Tropicos - Missouri Botanical Garden",0.75,"Couma utilis"
"Diplotropis purpurea","Tropicos - Missouri Botanical Garden",0.988,"Diplotropis purpurea"
"Himatanthus phagedaenicu","Tropicos - Missouri Botanical Garden",0.75,"Himatanthus phagedaenicus"
"Tachigali guianensis","Tropicos - Missouri Botanical Garden",0.988,"Tachigali guianensis"
"Couratari guianensis","Tropicos - Missouri Botanical Garden",0.988,"Couratari guianensis"
"Cariniana micrantha","Tropicos - Missouri Botanical Garden",0.988,"Cariniana micrantha"
"Citharexylum myrianthum","The International Plant Names Index",0.988,"Citharexylum myrianthum"
"Virola venosa","The International Plant Names Index",0.988,"Virola venosa"
"Platanua occidentalis","Tropicos - Missouri Botanical Garden",0.75,"Platanus occidentalis"
"Mimosa caesalpinifolia","Tropicos - Missouri Botanical Garden",0.75,"Mimosa caesalpiniifolia"
"Crateva andansonii subsp odorata","Tropicos - Missouri Botanical Garden",0.75,"Crateva adansonii"
"Pinus ayacahuite","The International Plant Names Index",0.988,"Pinus ayacahuite"
"coffea arabica (catimor)","Tropicos - Missouri Botanical Garden",0.988,"Coffea arabica"
"coffea arabica (costa rica 95)","Tropicos - Missouri Botanical Garden",0.988,"Coffea arabica"
"inga micheliana","Tropicos - Missouri Botanical Garden",0.988,"Inga micheliana"
"Coffea arabica (catimor)","Tropicos - Missouri Botanical Garden",0.988,"Coffea arabica"
"inga micheliana ","Tropicos - Missouri Botanical Garden",0.988,"Inga micheliana"
"alnus acuminata","The International Plant Names Index",0.988,"Alnus acuminata"
"coffea arabiga (costa rica 95)","Tropicos - Missouri Botanical Garden",0.75,"Coffea arabica"
"Persea americana:","Tropicos - Missouri Botanical Garden",0.75,"Persea"
"Persea sp","Tropicos - Missouri Botanical Garden",0.75,"Persea"
"Guazuma ulmifolia:","Tropicos - Missouri Botanical Garden",0.75,"Guazuma"
